PREDSEDNICKIIZBORIodržani13.juna2004.prvikrug,VAR00001,V2,,V3,V4,V5,V6,V7,V8,V9,Ljiljana Aranđelović,Vladan Batić,Ivica Dačić,Milovan Drecun,Dragan Djordjević,Branislav Ivković,Mirko Jović,Jelisaveta Karađorđević,Bogoljub Karić,Dragan Maršićanin,Zoran Milinković,Tomislav Nikolić,Borislav Pelević,Marijan Rističević,Boris Tadić
70874,Novi Pazar,51,,280,182,280,98,98,0,98,0,0,1,0,0,0,0,0,0,3,0,7,0,0,87
70904,Para}in,51,,846,443,846,403,403,7,396,13,0,17,2,0,0,1,7,69,34,0,196,2,2,53
70939,Pirot,51,,530,355,530,175,175,8,167,4,2,16,0,1,0,0,1,55,14,0,47,2,8,17
70947,Po`arevac,51,,287,97,287,190,190,2,188,0,1,45,1,0,0,0,2,41,18,0,44,1,1,34
70955,Po`ega,51,,131,54,131,77,77,0,77,0,0,6,0,0,1,1,4,12,35,0,6,0,0,12
70980,Prijepoqe,51,,1061,691,1061,370,370,4,366,3,3,13,0,0,0,1,2,22,12,1,69,4,0,236
70998,Prokupqe,51,,273,151,273,122,122,2,120,0,1,8,0,1,0,0,1,22,13,0,64,0,0,10
71048,Jagodina,51,,338,191,338,147,147,1,146,8,2,13,0,1,0,0,1,15,22,0,34,0,0,50
71072,Sjenica,51,,148,46,148,102,102,1,101,1,1,9,1,0,0,0,0,0,39,1,48,0,1,0
71099,Smederevo,51,,1665,1054,1665,611,611,8,603,4,6,19,0,2,3,1,9,144,132,2,166,1,4,110
71102,Smederevska Palanka,51,,1179,617,1179,562,562,6,556,4,3,19,1,0,4,1,16,133,61,0,186,1,0,127
71145,U`ice,51,,1162,600,1162,562,562,9,553,1,1,11,1,1,1,0,7,134,100,2,138,3,1,152
71170,Trstenik,51,,743,466,743,277,277,5,272,5,2,16,0,1,2,2,10,50,57,1,65,3,0,58
71188,Tutin,51,,605,245,605,360,360,4,356,2,0,0,0,0,0,0,0,14,2,0,2,0,0,336
71218,Ub,51,,246,161,259,85,85,1,84,0,0,5,1,0,0,0,4,9,20,1,40,0,0,4
71242,^a~ak,51,,1791,848,1792,943,943,15,928,1,0,70,7,2,0,1,15,210,206,3,269,4,2,138
71269,[abac,51,,1128,603,1128,525,525,3,522,1,1,33,3,1,3,2,10,71,121,0,180,1,2,93
80128,Vr{ac,51,,709,352,709,357,357,3,354,3,1,12,0,0,0,0,2,33,15,0,69,2,1,216
80152,Zrewanin,51,,2381,1069,2394,1312,1312,20,1292,3,6,29,8,0,3,5,32,249,136,0,449,5,2,365
80209,Kikinda,51,,875,443,875,432,432,6,426,2,5,11,1,1,2,0,19,81,47,2,169,1,3,82
80284,Novi Sad-grad,51,,1110,508,1110,602,602,4,598,0,0,5,4,0,2,0,15,99,88,0,254,0,1,130
80314,Pan~evo,51,,1600,731,1600,869,868,12,856,0,1,23,3,0,1,1,15,180,120,2,187,1,1,321
80381,Sombor,51,,1134,756,1135,378,378,8,370,3,7,7,1,2,0,0,6,68,31,0,26,0,2,217
80403,Sremska Mitrovica,51,,975,398,975,577,577,8,569,4,5,15,6,1,6,0,21,99,103,0,159,3,1,146
80438,Subotica,51,,837,373,837,464,464,6,458,0,0,5,2,0,0,1,7,127,22,1,124,0,1,168
70017,Aleksandrovac,52,,739,466,739,273,273,3,270,3,2,26,3,3,5,0,3,28,76,3,73,0,2,43
70025,Aleksinac,52,,283,175,283,108,108,1,107,1,1,7,0,0,6,0,2,11,8,0,69,0,2,0
70068,Bajina Ba{ta,52,,170,85,170,85,85,0,85,0,0,7,0,0,3,0,0,25,9,0,27,2,0,12
70106,Vo`dovac,52,,1563,725,1563,838,838,5,833,1,4,12,3,2,1,2,22,177,124,0,181,1,0,303
70114,Vra~ar,52,,1019,467,1019,552,551,1,550,1,0,19,3,0,3,0,11,72,106,0,68,0,0,267
70149,Zvezdara,52,,2102,967,2102,1135,1135,9,1126,2,5,27,6,1,4,0,22,194,197,0,201,4,3,460
70157,Zemun,52,,2276,1244,2276,1032,1032,7,1025,4,2,20,2,4,1,3,25,166,119,1,437,4,4,233
70165,Lazarevac,52,,416,195,416,221,221,0,221,1,1,9,0,1,1,0,6,16,64,0,48,1,1,72
70173,Mladenovac,52,,679,420,679,259,259,6,253,3,0,15,0,0,1,0,6,33,32,0,93,0,0,70
70181,Novi Beograd,52,,1151,522,1151,629,629,4,625,1,6,21,1,0,1,1,23,103,103,2,112,2,1,248
70190,Obrenovac,52,,1014,589,1014,425,425,16,409,1,37,19,2,1,0,1,12,46,80,1,125,2,1,81
70203,Palilula,52,,958,542,958,416,416,5,411,0,2,9,0,0,0,0,10,82,76,1,81,1,2,147
70211,Rakovica,52,,2036,1185,2036,851,851,7,844,0,6,12,1,1,1,0,5,218,128,1,299,2,0,170
70246,Stari Grad,52,,947,456,947,491,490,8,482,0,4,13,2,0,5,0,7,74,98,0,64,2,1,212
70254,^ukarica,52,,1469,623,1469,846,846,5,841,0,2,23,4,0,0,0,31,152,130,1,215,1,3,279
70351,Bujanovac,52,,1652,1480,1652,172,172,12,160,1,0,3,4,4,0,0,2,56,5,3,67,0,1,14
70360,Vaqevo,52,,165,101,165,64,64,1,63,0,0,12,0,0,2,0,1,6,19,0,18,0,0,5
70416,Vladi~in Han,52,,187,116,187,71,71,0,71,2,2,3,0,0,1,1,0,8,22,2,17,0,0,13
70424,Vlasotince,52,,223,148,223,75,75,1,74,0,1,6,0,0,0,0,1,7,1,0,40,1,1,16
70432,Vrawe,52,,468,377,468,91,91,1,90,0,0,3,1,0,1,2,2,17,3,1,53,2,0,5
70483,Gorwi Milanovac,52,,270,120,270,150,150,6,144,3,0,9,1,0,0,0,10,19,25,0,48,2,0,27
70556,Zaje~ar,52,,472,263,472,209,209,1,208,2,1,27,1,4,3,0,8,36,26,0,87,3,2,8
70564,Ivawica,52,,1158,646,1159,512,512,2,510,0,2,7,1,1,2,0,8,99,81,0,186,4,1,118
70602,Kwa`evac,52,,187,134,187,53,53,5,48,2,0,0,0,0,0,0,0,14,3,0,19,0,0,10
70645,Kragujevac-grad,52,,1250,600,1250,650,650,5,645,0,1,35,2,3,1,0,20,109,119,1,155,2,1,196
70653,Kraqevo,52,,1242,717,1242,525,525,10,515,2,0,10,1,3,1,1,7,80,57,4,227,1,1,120
70670,Kru{evac,52,,350,207,350,143,143,3,140,0,0,5,4,0,1,1,2,41,19,1,23,0,0,43
70688,Kur{umlija,52,,150,87,150,63,63,2,61,2,0,2,0,0,0,0,0,8,15,0,28,0,0,6
70726,Leskovac,52,,250,75,250,175,175,1,174,0,4,12,3,1,5,2,0,29,4,7,80,9,2,16
70734,Loznica,52,,1950,1034,1958,916,916,10,906,2,4,38,14,3,7,4,18,200,182,2,222,4,1,205
70742,Lu~ani,52,,432,261,432,171,171,1,170,0,0,9,3,1,0,0,4,24,60,0,41,1,0,27
70840,Negotin,52,,591,320,591,271,271,4,267,5,4,14,0,0,1,0,5,89,24,0,93,3,1,28
70858,Ni{,52,,1862,1064,1862,798,797,7,790,4,1,16,15,3,0,0,20,241,107,0,236,2,1,144
70874,Novi Pazar,52,,356,162,356,194,194,3,191,0,0,0,0,0,0,0,0,10,0,0,0,0,0,181
70904,Para}in,52,,1078,571,1078,507,507,12,495,9,0,11,0,0,1,0,3,34,19,0,175,4,1,238
70939,Pirot,52,,204,91,204,113,113,1,112,1,1,10,4,2,8,0,1,44,6,0,30,2,2,1
70947,Po`arevac,52,,812,327,914,485,485,5,480,0,2,28,3,0,0,0,7,102,48,0,159,2,0,129
70955,Po`ega,52,,408,182,408,226,226,6,220,0,0,9,3,0,0,1,1,57,22,2,65,6,0,54
70980,Prijepoqe,52,,1140,859,1140,281,281,4,277,1,0,1,1,0,0,0,0,20,13,1,19,0,0,221
70998,Prokupqe,52,,148,72,148,76,76,1,75,0,2,6,0,0,0,1,1,11,6,0,39,0,0,9
71048,Jagodina,52,,121,80,121,41,41,0,41,0,1,2,0,0,0,0,3,8,2,0,25,0,0,0
71072,Sjenica,52,,250,45,250,205,205,1,204,0,1,36,0,0,0,0,3,21,36,0,106,1,0,0
71099,Smederevo,52,,1292,804,1292,488,485,6,479,3,4,39,1,1,2,1,3,115,53,1,158,5,3,90
71102,Smederevska Palanka,52,,850,340,850,510,510,6,504,4,4,21,7,0,4,0,20,111,83,1,101,3,0,145
71145,U`ice,52,,898,486,898,412,412,2,410,0,1,18,0,1,1,1,5,89,66,0,114,3,1,110
71170,Trstenik,52,,674,435,674,239,239,3,236,1,0,7,2,0,0,1,10,40,35,1,82,0,2,55
71188,Tutin,52,,789,330,789,459,459,0,459,0,0,0,0,0,0,0,0,17,9,0,7,0,0,426
71242,^a~ak,52,,1192,681,1192,511,511,7,504,0,1,78,2,1,1,3,6,132,75,3,96,1,1,104
71269,[abac,52,,1334,825,1334,509,509,6,503,2,3,26,6,0,2,0,5,48,108,1,223,3,3,73
80128,Vr{ac,52,,218,149,218,69,69,2,67,0,3,1,0,0,1,0,1,9,7,0,5,1,2,37
80152,Zrewanin,52,,2388,1123,2389,1265,1265,11,1254,3,6,13,2,3,11,6,31,221,126,0,411,4,4,413
80209,Kikinda,52,,879,485,879,394,394,7,387,4,3,8,1,1,0,1,13,76,38,0,173,3,4,62
80284,Novi Sad-grad,52,,984,445,984,539,539,7,532,0,1,7,3,0,1,0,17,97,85,0,110,1,0,210
80314,Pan~evo,52,,2050,1088,2050,962,961,15,946,2,2,16,1,1,1,2,11,235,96,0,380,0,0,199
80381,Sombor,52,,1258,795,1258,463,463,5,458,4,5,4,1,1,2,1,13,29,34,2,98,1,1,262
80403,Sremska Mitrovica,52,,993,419,993,574,574,5,569,1,3,11,1,0,3,0,24,119,63,1,168,2,2,171
80438,Subotica,52,,316,150,316,166,166,1,165,2,0,0,1,0,0,0,1,31,14,0,16,0,1,99
70017,Aleksandrovac,53,,881,426,881,455,455,7,448,2,1,13,3,0,2,0,13,64,99,0,119,0,6,126
70025,Aleksinac,53,,920,667,920,253,253,2,251,1,5,7,0,1,0,0,2,67,16,0,108,5,1,38
70068,Bajina Ba{ta,53,,562,321,562,241,241,4,237,2,1,14,0,0,0,1,1,41,40,1,84,1,0,51
70106,Vo`dovac,53,,2202,969,2203,1233,1233,9,1224,1,2,32,6,0,0,0,26,238,207,0,249,4,2,457
70114,Vra~ar,53,,926,460,926,466,466,3,463,0,3,5,1,0,1,0,14,60,92,1,64,0,2,220
70149,Zvezdara,53,,1906,917,1906,989,987,14,973,3,4,24,2,0,0,4,23,178,153,3,183,1,1,394
70157,Zemun,53,,1509,716,1509,793,793,6,787,0,1,29,2,0,0,0,12,133,146,2,222,2,3,235
70165,Lazarevac,53,,470,220,470,250,250,4,246,0,3,18,1,0,1,0,6,35,52,0,77,1,0,52
70173,Mladenovac,53,,674,361,674,313,313,2,311,4,3,25,0,2,7,2,3,55,34,0,140,1,3,32
70181,Novi Beograd,53,,1552,658,1552,894,894,7,887,1,1,31,0,1,0,0,17,119,184,1,143,3,0,386
70190,Obrenovac,53,,1431,876,1431,555,555,5,550,1,9,32,1,1,0,0,9,67,53,3,270,0,2,102
70203,Palilula,53,,1294,743,1294,551,551,2,549,1,3,10,2,1,0,0,13,141,80,0,151,4,0,143
70211,Rakovica,53,,2008,1222,2008,786,786,4,782,1,4,21,3,0,1,1,17,150,129,2,263,3,1,186
70246,Stari Grad,53,,944,495,944,449,449,6,443,0,0,11,1,1,3,0,7,57,86,0,74,0,0,203
70254,^ukarica,53,,1559,793,1559,766,766,6,760,1,2,13,2,0,0,2,15,162,149,0,175,1,0,238
70351,Bujanovac,53,,1127,845,1127,282,282,12,270,0,0,9,0,1,0,1,1,47,24,1,135,1,0,50
70360,Vaqevo,53,,124,48,124,76,76,4,72,0,0,5,0,3,3,0,3,21,11,0,23,0,0,3
70416,Vladi~in Han,53,,119,64,119,55,55,1,54,1,2,3,0,0,0,0,0,3,7,0,23,3,1,11
70424,Vlasotince,53,,112,9,112,103,103,2,101,0,0,25,0,0,0,0,0,2,10,1,18,1,0,44
70432,Vrawe,53,,209,132,209,77,77,0,77,0,0,4,1,1,0,5,2,18,1,0,36,3,0,6
70483,Gorwi Milanovac,53,,205,107,205,98,98,1,97,0,0,2,0,0,0,1,1,9,29,0,50,0,0,5
70556,Zaje~ar,53,,181,89,181,92,92,4,88,0,0,13,2,1,0,0,5,3,7,0,42,1,1,13
70564,Ivawica,53,,148,108,148,40,40,0,40,0,1,0,0,0,0,0,0,10,7,0,17,1,1,3
70602,Kwa`evac,53,,244,153,244,91,91,2,89,2,2,7,0,0,1,1,3,9,8,0,43,1,0,12
70645,Kragujevac-grad,53,,1501,757,1501,744,744,10,734,2,5,21,4,0,5,0,23,149,129,0,201,0,1,194
70653,Kraqevo,53,,1300,715,1300,585,585,4,581,2,1,12,4,1,2,3,13,93,107,8,221,1,2,111
70670,Kru{evac,53,,948,619,948,329,329,7,322,2,0,29,0,0,1,0,14,40,54,0,120,0,3,59
70688,Kur{umlija,53,,419,197,419,222,222,4,218,0,0,12,2,0,1,0,3,60,10,0,93,3,0,34
70726,Leskovac,53,,458,204,458,254,254,0,254,0,4,25,3,2,10,0,5,110,13,2,64,0,1,15
